dpl,nperi,ci,nce,category
27,3,10,12,1
27,3,15,6,1
27,3,20,10,3
27,3,25,8,2
27,3,30,13,4
27,3,35,8,3
27,3,40,5,3
27,3,45,4,2
27,3,50,9,3
27,3,55,8,2
27,3,60,8,3
27,3,70,11,4
27,3,90,3,2
27,3,100,5,2
27,3,125,4,3
27,3,150,4,4
27,3,200,4,4
27,3,250,4,4
27,3,270,5,4
27,3,300,4,4
64,3,10,11,1
64,3,15,6,1
64,3,20,12,2
64,3,25,10,3
64,3,30,15,4
64,3,35,10,3
64,3,40,4,3
64,3,45,4,2
64,3,50,8,3
64,3,55,7,2
64,3,60,8,3
64,3,70,8,4
64,3,90,5,2
64,3,100,4,2
64,3,125,4,3
64,3,150,3,4
64,3,200,3,4
64,3,250,4,4
64,3,270,4,4
64,3,300,4,4
128,3,10,9,1
128,3,15,9,1
128,3,20,6,2
128,3,25,6,3
128,3,30,11,4
128,3,35,12,3
128,3,40,4,3
128,3,45,4,2
128,3,50,8,3
128,3,55,7,2
128,3,60,6,3
128,3,70,14,4
128,3,90,4,2
128,3,100,5,2
128,3,125,4,3
128,3,150,3,4
128,3,200,3,4
128,3,250,2,4
128,3,270,2,4
128,3,300,3,4
251,3,10,12,1
251,3,15,7,1
251,3,20,7,2
251,3,25,6,3
251,3,30,12,4
251,3,35,6,3
251,3,40,3,3
251,3,45,4,2
251,3,50,6,3
251,3,55,5,2
251,3,60,8,3
251,3,70,6,4
251,3,90,3,2
251,3,100,3,2
251,3,125,3,3
251,3,150,3,4
251,3,200,3,4
251,3,250,2,4
251,3,270,2,4
251,3,300,3,4
27,4,10,12,1
27,4,15,4,1
27,4,20,3,2
27,4,25,5,3
27,4,30,4,4
27,4,35,6,3
27,4,40,9,3
27,4,45,12,2
27,4,50,13,3
27,4,55,15,2
27,4,60,4,3
27,4,70,4,4
27,4,90,10,2
27,4,100,8,2
27,4,125,6,3
27,4,150,5,4
27,4,200,5,4
27,4,250,4,4
27,4,270,4,4
27,4,300,3,4
64,4,10,9,1
64,4,15,8,1
64,4,20,8,2
64,4,25,9,3
64,4,30,8,4
64,4,35,9,3
64,4,40,9,3
64,4,45,11,2
64,4,50,7,3
64,4,55,3,2
64,4,60,3,3
64,4,70,6,4
64,4,90,4,2
64,4,100,9,2
64,4,125,4,3
64,4,150,6,4
64,4,200,5,4
64,4,250,3,4
64,4,270,4,4
64,4,300,3,4
128,4,10,11,1
128,4,15,6,1
128,4,20,7,2
128,4,25,9,3
128,4,30,5,4
128,4,35,12,3
128,4,40,8,3
128,4,45,6,2
128,4,50,8,3
128,4,55,6,2
128,4,60,4,3
128,4,70,3,4
128,4,90,6,2
128,4,100,6,2
128,4,125,4,3
128,4,150,3,4
128,4,200,4,4
128,4,250,3,4
128,4,270,3,4
128,4,300,3,4
251,4,10,19,1
251,4,15,5,1
251,4,20,6,2
251,4,25,10,3
251,4,30,3,4
251,4,35,11,3
251,4,40,8,3
251,4,45,9,2
251,4,50,9,3
251,4,55,3,2
251,4,60,4,3
251,4,70,5,4
251,4,90,10,2
251,4,100,8,2
251,4,125,4,3
251,4,150,4,4
251,4,200,3,4
251,4,250,4,4
27,6,10,18,2
27,6,15,14,2
27,6,20,15,4
27,6,25,12,3
27,6,30,15,4
27,6,35,8,4
27,6,40,20,4
27,6,45,5,2
27,6,50,6,4
27,6,55,8,4
27,6,60,7,4
27,6,70,10,4
27,6,90,8,4
27,6,100,12,4
27,6,125,6,4
27,6,150,8,4
27,6,200,6,4
27,6,250,6,4
27,6,270,5,4
27,6,300,5,4
64,6,10,23,2
64,6,15,11,2
64,6,20,9,4
64,6,25,11,3
64,6,30,12,4
64,6,35,8,4
64,6,40,8,4
64,6,45,5,2
64,6,50,15,4
64,6,55,14,4
64,6,60,6,4
64,6,70,9,4
64,6,90,12,4
64,6,100,9,4
64,6,125,4,4
64,6,150,8,4
64,6,200,5,4
64,6,250,4,4
64,6,270,4,4
64,6,300,4,4
128,6,10,20,2
128,6,15,12,2
128,6,20,12,4
128,6,25,15,3
128,6,30,8,4
128,6,35,15,4
128,6,40,6,4
128,6,45,4,2
128,6,50,14,4
128,6,55,9,4
128,6,60,10,4
128,6,70,8,4
128,6,90,6,4
128,6,100,9,4
128,6,125,6,4
128,6,150,6,4
128,6,200,4,4
128,6,250,6,4
128,6,270,4,4
128,6,300,3,4
251,6,70,12,4
251,6,90,8,4
251,6,100,6,4
251,6,125,5,4
251,6,150,4,4
251,6,200,5,4
251,6,250,5,4
251,6,270,4,4
251,6,300,3,4
27,1,10,3,1
27,1,15,2,1
27,1,20,2,2
27,1,30,2,4
27,1,35,3,3
27,1,40,3,3
27,1,45,3,2
27,1,50,2,3
27,1,55,2,2
27,1,60,2,3
27,1,70,2,4
27,1,90,3,2
27,1,100,2,2
27,1,125,2,3
27,1,150,2,4
27,1,200,2,4
27,1,250,2,4
27,1,270,2,4
27,1,300,2,4
27,1,10,3,1
27,1,15,3,1
27,1,20,3,2
27,1,30,2,4
27,1,35,2,3
27,1,40,2,3
27,1,45,3,2
27,1,50,2,3
27,1,55,3,2
27,1,60,2,3
27,1,70,3,4
27,1,90,2,2
27,1,100,3,2
27,1,125,2,3
27,1,150,2,4
27,1,200,2,4
27,1,250,2,4
27,1,270,2,4
27,1,300,2,4
64,1,10,2,1
64,1,15,2,1
64,1,20,2,2
64,1,30,2,4
64,1,35,2,3
64,1,40,3,3
64,1,45,2,2
64,1,50,2,3
64,1,55,2,2
64,1,60,2,3
64,1,70,3,4
64,1,90,3,2
64,1,100,2,2
64,1,125,2,3
64,1,150,2,4
64,1,200,2,4
64,1,250,2,4
