dpl,nperi,ci,pow,latency,nce,noise,category
27,3,10,556.7581833,119,12,1,1
27,3,15,494.8190653,95,6,1,1
27,3,20,405.8173375,205,10,1,3
27,3,25,372.3657823,190,8,1,2
27,3,30,312.3488101,378,13,1,4
27,3,35,307.9733949,271,8,1,3
27,3,40,228.6245248,177,5,1,3
27,3,45,252.9540356,183,4,1,2
27,3,50,320.2443985,417,9,1,3
27,3,55,258.8910933,403,8,1,2
27,3,60,205.794438,471,8,1,3
27,3,70,159.6991559,768,11,1,4
27,3,90,153.6936462,263,3,1,2
27,3,100,231.834249,424,5,1,2
27,3,125,209.4805294,490,4,1,3
27,3,150,201.8446869,468,4,1,4
27,3,200,188.1782058,720,4,1,4
27,3,250,121.4366279,969,4,1,4
27,3,270,198.7901447,1220,5,1,4
27,3,300,181.3354473,1003,4,1,4
64,3,10,579.7816124,109,11,1,1
64,3,15,429.6748777,83,6,1,1
64,3,20,352.9735846,238,12,1,2
64,3,25,282.8184824,240,10,1,3
64,3,30,192.7403909,438,15,1,4
64,3,35,241.2973775,331,10,1,3
64,3,40,234.2473116,129,4,1,3
64,3,45,217.373754,172,4,1,2
64,3,50,217.7407122,362,8,1,3
64,3,55,164.7444394,385,7,1,2
64,3,60,233.9781857,465,8,1,3
64,3,70,157.3879486,504,8,1,4
64,3,90,181.2973033,411,5,1,2
64,3,100,148.5410383,368,4,1,2
64,3,125,210.2484021,506,4,1,3
64,3,150,152.8175921,412,3,1,4
64,3,200,102.1267914,438,3,1,4
64,3,250,142.8668291,970,4,1,4
64,3,270,135.1224069,994,4,1,4
64,3,300,115.9804488,1114,4,1,4
128,3,10,552.4994068,91,9,1,1
128,3,15,445.6501792,138,9,1,1
128,3,20,315.7422277,119,6,1,2
128,3,25,290.7221011,143,6,1,3
128,3,30,202.4968343,324,11,1,4
128,3,35,207.6970683,401,12,1,3
128,3,40,192.9944707,158,4,1,3
128,3,45,288.3350245,160,4,1,2
128,3,50,183.724365,375,8,1,3
128,3,55,223.7066063,391,7,1,2
128,3,60,200.765855,351,6,1,3
128,3,70,126.607217,927,14,1,4
128,3,90,178.3742784,349,4,1,2
128,3,100,129.0518211,465,5,1,2
128,3,125,156.5201219,477,4,1,3
128,3,150,166.6325997,372,3,1,4
128,3,200,118.5173559,504,3,1,4
128,3,250,116.7406733,475,2,1,4
128,3,270,90.53207659,527,2,1,4
128,3,300,83.60372932,736,3,1,4
251,3,10,509.0962938,119,12,1,1
251,3,15,476.1780331,97,7,1,1
251,3,20,330.8045452,136,7,1,2
251,3,25,255.3799504,147,6,1,3
251,3,30,270.6563291,358,12,1,4
251,3,35,260.4900934,209,6,1,3
251,3,40,225.0118355,121,3,1,3
251,3,45,211.9390721,169,4,1,2
251,3,50,159.7152446,286,6,1,3
251,3,55,161.7827752,227,5,1,2
251,3,60,125.4204826,461,8,1,3
251,3,70,129.3629296,408,6,1,4
251,3,90,128.0458316,256,3,1,2
251,3,100,122.0331655,282,3,1,2
